Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Score,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Categories_List
2023-06-09 15:25:33+05:30,57,Prefer Not To Say,Few Times A Month,Groceries and Gourmet Food;Home and Kitchen,Yes,Rarely,Others,Multiple Pages,5,No,Rarely,Found a better price elsewhere,Never,No,Heavily,Sometimes,5,No,4,4,User-Friendly Website/App Interface,Nothing,133228,"['Groceries and Gourmet Food', 'Home and Kitchen']"
2023-06-12 15:33:53+05:30,26,Female,Once A Week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple Times A Day,Categories,Multiple Pages,2,No,Rarely,Found a better price elsewhere,Never,Yes,Moderately,Yes,1,Sometimes,4,5,Customer Service,No problems with Amazon,608989,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-06 20:01:47+05:30,21,Male,Multiple Times A Week,Groceries and Gourmet Food;Home and Kitchen;others,No,Multiple Times A Day,Categories,First Page,5,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Moderately,No,5,Yes,1,1,Competitive Prices,Shipping speed and reliability,603175,"['Groceries and Gourmet Food', 'Home and Kitchen', 'others']"
2023-06-07 22:16:22+05:30,6,Male,Less Than Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Rarely,Filter,Multiple Pages,3,No,Always,Changed my mind or no longer need the item,Always,Yes,Occasionally,No,5,Sometimes,5,3,Product Recommendations,Nothing,745429,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'others']"
2023-06-04 20:52:49+05:30,59,Male,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple Times A Day,Keyword,Multiple Pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,Yes,Rarely,Yes,1,Sometimes,2,2,Customer Service,Nil,479687,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-07 09:32:38+05:30,48,Others,Once A Week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few Times A Month,Keyword,Multiple Pages,3,No,Often,Changed my mind or no longer need the item,Never,Yes,Moderately,Sometimes,3,No,3,1,Not Specified,Product quality and accuracy,413270,"['Groceries and Gourmet Food', 'Home and Kitchen']"
2023-06-08 22:38:51+05:30,52,Others,Multiple Times A Week,Clothing and Fashion;Home and Kitchen;others,Yes,Few Times A Week,Keyword,Multiple Pages,2,Yes,Never,Found a better price elsewhere,Never,No,Rarely,Sometimes,3,Sometimes,5,4,Competitive Prices,User interface,654030,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-06 10:03:52+05:30,32,Female,Few Times A Month,Groceries and Gourmet Food;Home and Kitchen,No,Few Times A Week,Others,Multiple Pages,4,No,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,Yes,2,Sometimes,4,2,Product Recommendations,Shipping speed and reliability,181555,"['Groceries and Gourmet Food', 'Home and Kitchen']"
2023-06-07 13:49:06+05:30,11,Others,Once A Month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Others,First Page,2,No,Never,High shipping costs,Sometimes,Yes,Occasionally,Yes,3,No,4,5,Not Specified,Shipping speed and reliability,437420,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-06 19:02:21+05:30,19,Male,Less Than Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few Times A Month,Categories,Multiple Pages,5,No,Never,others,Often,No,Never,Sometimes,4,Yes,3,1,Customer Service,Reducing packaging waste,349389,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-09 10:28:23+05:30,31,Male,Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,Keyword,Multiple Pages,2,Maybe,Often,High shipping costs,Often,Yes,Heavily,No,3,No,4,1,Customer Service,Nothing,183459,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-06 19:54:19+05:30,8,Female,Once A Month,Clothing and Fashion;others,Sometimes,Rarely,Not Specified,First Page,4,Yes,Often,High shipping costs,Never,No,Moderately,No,2,No,5,1,Wide Product Selection,I have no problem with Amazon yet. But others tell me about the refund issues,164965,"['Clothing and Fashion', 'others']"
2023-06-05 14:25:28+05:30,23,Female,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few Times A Month,Not Specified,First Page,2,Yes,Rarely,others,Rarely,No,Never,Sometimes,1,No,3,4,Product Recommendations,better app interface and lower shipping charges,321484,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'others']"
2023-06-08 17:37:13+05:30,47,Female,Once A Week,Groceries and Gourmet Food,Sometimes,Multiple Times A Day,Keyword,Multiple Pages,5,No,Rarely,High shipping costs,Often,Yes,Heavily,Sometimes,2,Sometimes,4,3,All The Above,Customer service responsiveness,545338,['Groceries and Gourmet Food']
2023-06-09 16:33:19+05:30,42,Male,Less Than Once A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Others,Multiple Pages,3,No,Sometimes,Found a better price elsewhere,Often,Yes,Rarely,Sometimes,5,Sometimes,2,1,Quick Delivery,User interface of app,763673,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-05 13:27:08+05:30,28,Prefer Not To Say,Once A Month,Beauty and Personal Care;others,Yes,Few Times A Week,Not Specified,First Page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Always,No,Rarely,Yes,1,Yes,5,3,Competitive Prices,Customer service responsiveness,664194,"['Beauty and Personal Care', 'others']"
2023-06-12 15:53:28+05:30,66,Others,Once A Month,Home and Kitchen;others,No,Few Times A Month,Keyword,Multiple Pages,4,No,Rarely,others,Sometimes,No,Occasionally,Sometimes,2,Yes,1,3,Quick Delivery,I don't have any problem with Amazon,669267,"['Home and Kitchen', 'others']"
2023-06-06 23:28:31+05:30,64,Prefer Not To Say,Less Than Once A Month,Groceries and Gourmet Food,Sometimes,Few Times A Month,Filter,First Page,5,Yes,Never,Changed my mind or no longer need the item,Always,Yes,Heavily,Sometimes,2,Yes,2,5,Customer Service,User interface,119098,['Groceries and Gourmet Food']
2023-06-09 10:58:44+05:30,20,Others,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Multiple Times A Day,Filter,First Page,4,No,Never,High shipping costs,Rarely,Yes,Occasionally,Yes,1,Sometimes,4,1,Wide Product Selection,I don't have any problem with Amazon,780550,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-04 19:48:31+05:30,61,Prefer Not To Say,Once A Week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Categories,First Page,1,Maybe,Never,Changed my mind or no longer need the item,Often,Yes,Occasionally,Sometimes,1,Sometimes,4,1,Customer Service,Irrelevant product suggestions,346711,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-08 17:38:01+05:30,28,Others,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Multiple Times A Day,Others,Multiple Pages,1,Yes,Always,Found a better price elsewhere,Sometimes,No,Never,Sometimes,4,No,5,1,Customer Service,Reducing packaging waste,956927,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-08 19:50:55+05:30,42,Others,Few Times A Month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple Times A Day,Not Specified,Multiple Pages,2,No,Rarely,Found a better price elsewhere,Often,No,Never,Sometimes,5,Yes,1,4,Competitive Prices,Customer service responsiveness,170329,"['Beauty and Personal Care', 'Home and Kitchen', 'others']"
2023-06-09 15:19:53+05:30,66,Prefer Not To Say,Once A Week,Beauty and Personal Care;Clothing and Fashion;others,No,Few Times A Week,Categories,Multiple Pages,3,Yes,Rarely,High shipping costs,Often,Yes,Heavily,No,1,Sometimes,3,2,Customer Service,Customer service responsiveness,140986,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-09 15:25:33+05:30,28,Female,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few Times A Month,Others,First Page,1,Maybe,Often,others,Often,Yes,Rarely,Yes,5,No,3,3,Wide Product Selection,User interface,913747,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-07 14:22:14+05:30,10,Others,Few Times A Month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few Times A Week,Categories,Multiple Pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Never,No,1,Yes,1,5,Product Recommendations,Scrolling option would be much better than going to next page,253645,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-10 14:40:34+05:30,52,Female,Less Than Once A Month,Home and Kitchen,Sometimes,Multiple Times A Day,Keyword,Multiple Pages,3,Yes,Never,High shipping costs,Sometimes,Yes,Moderately,Sometimes,1,Sometimes,4,2,Product Recommendations,Scrolling option would be much better than going to next page,362496,['Home and Kitchen']
2023-06-11 22:43:19+05:30,20,Prefer Not To Say,Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few Times A Month,Filter,Multiple Pages,3,Yes,Always,High shipping costs,Sometimes,No,Occasionally,No,1,Yes,2,4,Customer Service,better app interface and lower shipping charges,430412,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-04 20:20:42+05:30,29,Others,Once A Week,Groceries and Gourmet Food,Yes,Few Times A Week,Categories,Multiple Pages,1,Yes,Never,Found a better price elsewhere,Always,Yes,Never,Yes,1,Yes,1,5,User-Friendly Website/App Interface,No problems with Amazon,449371,['Groceries and Gourmet Food']
2023-06-06 19:15:48+05:30,59,Others,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple Times A Day,Others,First Page,3,No,Often,Changed my mind or no longer need the item,Rarely,Yes,Heavily,No,2,No,1,4,Customer Service,User interface of app,266497,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'others']"
2023-06-08 17:32:12+05:30,61,Female,Less Than Once A Month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,Others,First Page,3,No,Rarely,High shipping costs,Rarely,No,Occasionally,No,1,Yes,4,2,Wide Product Selection,Irrelevant product suggestions,266430,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-09 14:39:47+05:30,42,Others,Once A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Not Specified,Multiple Pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Sometimes,4,Sometimes,3,1,Competitive Prices,Nil,168659,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-05 22:04:32+05:30,24,Prefer Not To Say,Less Than Once A Month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Filter,Multiple Pages,2,Maybe,Rarely,Found a better price elsewhere,Always,Yes,Heavily,Yes,2,Yes,4,4,Not Specified,Reducing packaging waste,180627,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-05 10:36:38+05:30,38,Female,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few Times A Month,Categories,First Page,3,Yes,Always,Found a better price elsewhere,Never,Yes,Occasionally,Yes,3,No,1,4,Product Recommendations,Nil,996592,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-07 09:19:23+05:30,19,Female,Once A Week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Rarely,Not Specified,Multiple Pages,3,Maybe,Sometimes,others,Rarely,Yes,Heavily,Sometimes,5,Sometimes,1,3,Quick Delivery,Product quality and accuracy,115397,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-04 23:24:41+05:30,60,Others,Multiple Times A Week,Groceries and Gourmet Food,Yes,Rarely,Categories,First Page,5,Yes,Often,High shipping costs,Always,No,Occasionally,No,4,Sometimes,1,3,Customer Service,Nothing,501390,['Groceries and Gourmet Food']
2023-06-09 10:59:38+05:30,51,Female,Few Times A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few Times A Month,Categories,First Page,5,Yes,Often,High shipping costs,Rarely,No,Occasionally,No,4,Sometimes,1,2,Customer Service,Product quality and accuracy,864801,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-05 22:07:33+05:30,3,Male,Once A Week,Beauty and Personal Care;Home and Kitchen,No,Few Times A Month,Categories,First Page,5,No,Never,others,Never,No,Occasionally,No,2,Sometimes,5,2,User-Friendly Website/App Interface,Add more familiar brands to the list,118694,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-06 20:08:19+05:30,60,Male,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,First Page,5,Maybe,Rarely,High shipping costs,Never,No,Occasionally,Yes,4,Sometimes,5,5,Product Recommendations,I don't have any problem with Amazon,352850,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-05 21:56:08+05:30,39,Male,Few Times A Month,others,Yes,Rarely,Filter,First Page,2,Maybe,Rarely,Changed my mind or no longer need the item,Always,No,Moderately,Yes,4,No,2,4,Customer Service,Customer service responsiveness,331480,['others']
2023-06-12 14:44:47+05:30,63,Others,Multiple Times A Week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Categories,Multiple Pages,5,Maybe,Always,Found a better price elsewhere,Never,No,Occasionally,Yes,4,No,4,1,Customer Service,better app interface and lower shipping charges,372239,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-08 03:26:38+05:30,67,Prefer Not To Say,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few Times A Week,Not Specified,First Page,3,No,Sometimes,Changed my mind or no longer need the item,Always,Yes,Never,No,2,No,5,1,Product Recommendations,better app interface and lower shipping charges,715619,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-11 23:21:30+05:30,6,Others,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Yes,Multiple Times A Day,Keyword,Multiple Pages,3,Yes,Never,others,Always,Yes,Moderately,No,4,No,1,4,Customer Service,Add more familiar brands to the list,135079,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-06 19:10:55+05:30,36,Others,Multiple Times A Week,Beauty and Personal Care;Clothing and Fashion,No,Multiple Times A Day,Others,Multiple Pages,5,Maybe,Rarely,Found a better price elsewhere,Rarely,Yes,Never,No,2,Yes,4,5,User-Friendly Website/App Interface,UI,256914,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-07 22:21:00+05:30,64,Prefer Not To Say,Once A Week,Beauty and Personal Care;Clothing and Fashion,Yes,Few Times A Week,Not Specified,First Page,1,Maybe,Always,Changed my mind or no longer need the item,Often,Yes,Occasionally,Yes,3,No,5,5,All The Above,better app interface and lower shipping charges,278249,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-05 02:56:10+05:30,14,Male,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few Times A Month,Not Specified,Multiple Pages,5,No,Sometimes,High shipping costs,Always,Yes,Never,No,2,Yes,3,2,Competitive Prices,Customer service responsiveness,646848,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-12 14:49:47+05:30,41,Female,Once A Week,Beauty and Personal Care,Yes,Few Times A Week,Filter,Multiple Pages,4,Yes,Never,High shipping costs,Sometimes,No,Occasionally,Yes,1,Sometimes,5,2,Not Specified,Not Specified,559785,['Beauty and Personal Care']
2023-06-06 16:25:49+05:30,11,Others,Once A Month,Beauty and Personal Care;Clothing and Fashion;others,No,Multiple Times A Day,Others,Multiple Pages,1,No,Rarely,others,Often,No,Never,Yes,2,Sometimes,1,5,User-Friendly Website/App Interface,Customer service responsiveness,958892,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-08 03:33:39+05:30,66,Male,Multiple Times A Week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple Times A Day,Others,Multiple Pages,2,Yes,Often,Changed my mind or no longer need the item,Rarely,Yes,Moderately,Sometimes,5,Yes,5,3,Customer Service,User interface of app,177417,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-07 13:33:51+05:30,11,Others,Few Times A Month,Home and Kitchen;others,Yes,Rarely,Keyword,First Page,3,Yes,Often,others,Always,No,Rarely,No,3,No,5,4,Product Recommendations,No problems with Amazon,595926,"['Home and Kitchen', 'others']"
2023-06-04 21:48:15+05:30,51,Female,Few Times A Month,Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Not Specified,First Page,2,No,Rarely,Found a better price elsewhere,Never,No,Moderately,Sometimes,4,No,2,4,User-Friendly Website/App Interface,Reducing packaging waste,687455,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-06 18:37:26+05:30,37,Male,Less Than Once A Month,Beauty and Personal Care;others,Yes,Few Times A Week,Not Specified,Multiple Pages,2,No,Never,High shipping costs,Rarely,Yes,Heavily,Sometimes,1,No,4,3,Customer Service,Not Specified,926589,"['Beauty and Personal Care', 'others']"
2023-06-08 17:46:49+05:30,3,Others,Multiple Times A Week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few Times A Month,Categories,First Page,3,Yes,Never,Found a better price elsewhere,Rarely,Yes,Heavily,Sometimes,2,Sometimes,3,1,Customer Service,Customer service responsiveness,544536,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-06 18:41:11+05:30,62,Others,Once A Week,Home and Kitchen,Sometimes,Few Times A Month,Not Specified,First Page,1,Yes,Always,High shipping costs,Never,Yes,Moderately,Sometimes,1,No,2,3,All The Above,Irrelevant product suggestions,729354,['Home and Kitchen']
2023-06-06 23:28:31+05:30,30,Male,Multiple Times A Week,Clothing and Fashion;others,No,Few Times A Month,Keyword,First Page,4,Yes,Sometimes,others,Rarely,Yes,Never,Yes,5,No,2,4,Product Recommendations,Irrelevant product suggestions,142138,"['Clothing and Fashion', 'others']"
2023-06-09 09:34:07+05:30,24,Prefer Not To Say,Multiple Times A Week,Clothing and Fashion;others,Yes,Few Times A Month,Categories,Multiple Pages,2,No,Never,High shipping costs,Sometimes,No,Occasionally,Sometimes,5,Yes,1,4,Customer Service,I don't have any problem with Amazon,858515,"['Clothing and Fashion', 'others']"
2023-06-07 14:33:56+05:30,66,Others,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Categories,Multiple Pages,3,No,Rarely,Found a better price elsewhere,Often,No,Moderately,Yes,3,Yes,3,3,User-Friendly Website/App Interface,Customer service responsiveness,224855,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-09 10:58:13+05:30,49,Female,Less Than Once A Month,Beauty and Personal Care;Clothing and Fashion;others,No,Few Times A Month,Categories,Multiple Pages,1,Maybe,Sometimes,others,Rarely,No,Rarely,No,4,No,4,3,Wide Product Selection,Nothing,443511,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-04 22:24:47+05:30,63,Male,Less Than Once A Month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,Categories,First Page,2,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Never,Sometimes,4,No,2,4,Wide Product Selection,Nothing,281062,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-07 22:44:42+05:30,51,Male,Few Times A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Categories,First Page,2,No,Never,Found a better price elsewhere,Rarely,Yes,Moderately,Yes,1,Yes,3,4,Customer Service,Nil,938062,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-08 03:26:38+05:30,32,Female,Once A Month,Groceries and Gourmet Food;Clothing and Fashion,No,Rarely,Not Specified,First Page,4,Maybe,Often,others,Often,Yes,Never,Yes,1,Yes,1,4,Wide Product Selection,Shipping speed and reliability,320530,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-11 22:42:48+05:30,40,Others,Once A Month,Beauty and Personal Care,No,Rarely,Not Specified,Multiple Pages,4,No,Always,others,Always,Yes,Occasionally,Yes,3,No,4,2,Wide Product Selection,Quality of product is very poor according to the big offers,560700,['Beauty and Personal Care']
2023-06-11 22:49:49+05:30,61,Female,Once A Month,Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,Others,First Page,4,Yes,Sometimes,High shipping costs,Often,No,Rarely,No,5,Sometimes,1,5,Not Specified,Product quality and accuracy,295549,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-11 23:05:38+05:30,29,Others,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Not Specified,First Page,4,Yes,Never,Found a better price elsewhere,Sometimes,No,Occasionally,No,4,Sometimes,3,3,Quick Delivery,No problems with Amazon,707529,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-07 15:13:52+05:30,3,Others,Once A Week,Clothing and Fashion,Yes,Multiple Times A Day,Not Specified,Multiple Pages,3,Yes,Often,High shipping costs,Always,Yes,Heavily,No,1,No,3,3,Customer Service,Reducing packaging waste,707235,['Clothing and Fashion']
2023-06-11 23:01:04+05:30,46,Others,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few Times A Week,Keyword,First Page,5,Yes,Sometimes,Changed my mind or no longer need the item,Always,No,Heavily,No,2,Yes,1,2,Competitive Prices,No problems with Amazon,706807,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Home and Kitchen']"
2023-06-07 12:27:12+05:30,49,Others,Once A Month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Rarely,Not Specified,First Page,5,Maybe,Always,Found a better price elsewhere,Never,No,Heavily,No,4,Yes,2,5,User-Friendly Website/App Interface,Quality of product is very poor according to the big offers,152500,"['Groceries and Gourmet Food', 'Home and Kitchen']"
2023-06-06 18:39:26+05:30,43,Prefer Not To Say,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few Times A Week,Keyword,Multiple Pages,1,Maybe,Rarely,High shipping costs,Always,No,Moderately,Yes,4,Yes,1,5,Quick Delivery,Scrolling option would be much better than going to next page,818698,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-07 14:19:05+05:30,8,Female,Once A Week,Home and Kitchen;others,No,Multiple Times A Day,Keyword,First Page,2,No,Always,High shipping costs,Rarely,Yes,Heavily,Yes,1,No,5,4,Quick Delivery,Quality of product is very poor according to the big offers,112547,"['Home and Kitchen', 'others']"
2023-06-04 22:13:28+05:30,54,Male,Multiple Times A Week,Home and Kitchen,Sometimes,Few Times A Month,Filter,First Page,3,Maybe,Always,High shipping costs,Never,No,Occasionally,Yes,2,No,1,2,Customer Service,Not Specified,183711,['Home and Kitchen']
2023-06-06 18:44:50+05:30,37,Prefer Not To Say,Multiple Times A Week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple Pages,4,No,Sometimes,Found a better price elsewhere,Always,Yes,Moderately,Sometimes,4,No,5,5,User-Friendly Website/App Interface,Nothing,296464,"['Clothing and Fashion', 'Home and Kitchen']"
2023-06-05 00:37:54+05:30,12,Female,Few Times A Month,Beauty and Personal Care;Home and Kitchen;others,No,Few Times A Week,Others,Multiple Pages,3,No,Always,others,Often,No,Rarely,Sometimes,2,Yes,3,2,Competitive Prices,Reducing packaging waste,367252,"['Beauty and Personal Care', 'Home and Kitchen', 'others']"
2023-06-08 03:30:05+05:30,46,Prefer Not To Say,Few Times A Month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few Times A Week,Filter,First Page,4,No,Always,High shipping costs,Rarely,No,Rarely,Sometimes,3,Yes,4,2,Not Specified,Shipping speed and reliability,821202,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-09 15:23:38+05:30,19,Others,Few Times A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple Times A Day,Others,First Page,1,No,Rarely,High shipping costs,Rarely,Yes,Never,Yes,4,No,4,5,Customer Service,Customer service responsiveness,333209,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 19:54:19+05:30,59,Prefer Not To Say,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few Times A Week,Not Specified,Multiple Pages,5,No,Always,Found a better price elsewhere,Often,Yes,Never,Sometimes,2,No,3,3,Not Specified,User interface,209424,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-07 21:23:41+05:30,32,Male,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Multiple Times A Day,Filter,Multiple Pages,5,No,Sometimes,High shipping costs,Rarely,Yes,Never,Yes,5,Yes,5,4,Competitive Prices,Add more familiar brands to the list,168965,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-08 17:24:42+05:30,42,Others,Once A Week,Beauty and Personal Care;Clothing and Fashion,No,Few Times A Week,Categories,Multiple Pages,3,Yes,Rarely,Changed my mind or no longer need the item,Often,No,Heavily,Sometimes,2,Yes,3,5,Not Specified,Shipping speed and reliability,852611,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-06 19:10:55+05:30,35,Prefer Not To Say,Once A Month,Clothing and Fashion;others,Sometimes,Multiple Times A Day,Keyword,Multiple Pages,2,No,Often,others,Never,Yes,Moderately,No,1,Sometimes,2,3,Not Specified,I have no problem with Amazon yet. But others tell me about the refund issues,243671,"['Clothing and Fashion', 'others']"
2023-06-06 18:45:33+05:30,23,Male,Once A Month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple Times A Day,Filter,Multiple Pages,3,Maybe,Rarely,High shipping costs,Never,Yes,Moderately,No,1,Yes,5,3,Not Specified,No problems with Amazon,287157,"['Beauty and Personal Care', 'Home and Kitchen', 'others']"
2023-06-09 15:17:31+05:30,47,Others,Multiple Times A Week,Beauty and Personal Care;others,Yes,Rarely,Filter,Multiple Pages,5,No,Sometimes,High shipping costs,Never,Yes,Moderately,Sometimes,5,Yes,1,3,All The Above,Nil,996459,"['Beauty and Personal Care', 'others']"
2023-06-12 15:27:59+05:30,44,Female,Once A Month,Clothing and Fashion,No,Few Times A Week,Keyword,Multiple Pages,5,Yes,Never,High shipping costs,Rarely,No,Moderately,Sometimes,1,No,2,4,Customer Service,User interface,902586,['Clothing and Fashion']
2023-06-06 18:34:44+05:30,66,Prefer Not To Say,Multiple Times A Week,Clothing and Fashion;Home and Kitchen,No,Rarely,Keyword,Multiple Pages,5,No,Rarely,High shipping costs,Often,Yes,Occasionally,Yes,1,No,1,3,Quick Delivery,Quality of product is very poor according to the big offers,613840,"['Clothing and Fashion', 'Home and Kitchen']"
